file,line,real_a,real_k,real_b,mle_b,success
erik-sim/a1_k20_b1/trees.tre,1,1.0,20.0,1.0,0.9622825000835946,True
erik-sim/a1_k20_b1/trees.tre,2,1.0,20.0,1.0,0.9085074571011282,True
erik-sim/a1_k20_b1/trees.tre,3,1.0,20.0,1.0,0.7988611507702684,True
erik-sim/a1_k20_b1/trees.tre,4,1.0,20.0,1.0,1.3698827054666016,True
erik-sim/a1_k20_b1/trees.tre,5,1.0,20.0,1.0,1.3082690701567035,True
erik-sim/a1_k20_b1/trees.tre,6,1.0,20.0,1.0,1.331025893682159,True
erik-sim/a1_k20_b1/trees.tre,7,1.0,20.0,1.0,0.8116289192574838,True
erik-sim/a1_k20_b1/trees.tre,8,1.0,20.0,1.0,0.96134478898127,True
erik-sim/a1_k20_b1/trees.tre,10,1.0,20.0,1.0,0.7784705514536764,True
erik-sim/a1_k20_b1/trees.tre,11,1.0,20.0,1.0,0.8456064650284058,True
erik-sim/a1_k20_b1/trees.tre,12,1.0,20.0,1.0,0.8912971720017998,True
erik-sim/a1_k20_b1/trees.tre,13,1.0,20.0,1.0,0.8863044110567785,True
erik-sim/a1_k20_b1/trees.tre,14,1.0,20.0,1.0,0.9694037458880774,True
erik-sim/a1_k20_b1/trees.tre,15,1.0,20.0,1.0,1.3449712425924845,True
erik-sim/a1_k20_b1/trees.tre,16,1.0,20.0,1.0,0.9852964391730542,True
erik-sim/a1_k20_b1/trees.tre,17,1.0,20.0,1.0,1.0111044881542228,True
erik-sim/a1_k20_b1/trees.tre,18,1.0,20.0,1.0,0.5947756334078037,True
erik-sim/a1_k20_b1/trees.tre,19,1.0,20.0,1.0,0.758119366286544,True
erik-sim/a1_k20_b1/trees.tre,20,1.0,20.0,1.0,0.5941255922079146,True
erik-sim/a1_k20_b1/trees.tre,21,1.0,20.0,1.0,0.9790072987910537,True
erik-sim/a1_k20_b1/trees.tre,22,1.0,20.0,1.0,1.0272853956503891,True
erik-sim/a1_k20_b1/trees.tre,23,1.0,20.0,1.0,0.8795465730531208,True
erik-sim/a1_k20_b1/trees.tre,24,1.0,20.0,1.0,1.4554146808552417,True
erik-sim/a1_k20_b1/trees.tre,25,1.0,20.0,1.0,1.170836591956968,True
erik-sim/a1_k20_b1/trees.tre,26,1.0,20.0,1.0,1.1161357657693007,True
erik-sim/a1_k20_b1/trees.tre,27,1.0,20.0,1.0,1.2633203861913727,True
erik-sim/a1_k20_b1/trees.tre,28,1.0,20.0,1.0,0.961281681322279,True
erik-sim/a1_k20_b1/trees.tre,29,1.0,20.0,1.0,0.9439883021285042,True
erik-sim/a1_k20_b1/trees.tre,30,1.0,20.0,1.0,1.1966733536458094,True
erik-sim/a1_k20_b1/trees.tre,31,1.0,20.0,1.0,0.9420417433398901,True
erik-sim/a1_k20_b1/trees.tre,32,1.0,20.0,1.0,1.2878238308474248,True
erik-sim/a1_k20_b1/trees.tre,33,1.0,20.0,1.0,0.9255292501106289,True
erik-sim/a1_k20_b1/trees.tre,34,1.0,20.0,1.0,0.7371540847967895,True
erik-sim/a1_k20_b1/trees.tre,35,1.0,20.0,1.0,0.7161848637591004,True
erik-sim/a1_k20_b1/trees.tre,36,1.0,20.0,1.0,0.680659188820504,True
erik-sim/a1_k20_b1/trees.tre,37,1.0,20.0,1.0,1.4212039723926058,True
erik-sim/a1_k20_b1/trees.tre,38,1.0,20.0,1.0,0.7678155476197682,True
erik-sim/a1_k20_b1/trees.tre,39,1.0,20.0,1.0,1.189944967013662,True
erik-sim/a1_k20_b1/trees.tre,40,1.0,20.0,1.0,1.4039558901200033,True
erik-sim/a1_k20_b1/trees.tre,41,1.0,20.0,1.0,1.0857859112065968,True
erik-sim/a1_k20_b1/trees.tre,42,1.0,20.0,1.0,0.9607587660225803,True
erik-sim/a1_k20_b1/trees.tre,43,1.0,20.0,1.0,0.9187252057030194,True
erik-sim/a1_k20_b1/trees.tre,44,1.0,20.0,1.0,1.0356587520453766,True
erik-sim/a1_k20_b1/trees.tre,45,1.0,20.0,1.0,1.0216077168523634,True
erik-sim/a1_k20_b1/trees.tre,46,1.0,20.0,1.0,0.7708008941828907,True
erik-sim/a1_k20_b1/trees.tre,48,1.0,20.0,1.0,0.6605997138274797,True
erik-sim/a1_k20_b1/trees.tre,49,1.0,20.0,1.0,0.873841971307502,True
erik-sim/a1_k20_b1/trees.tre,50,1.0,20.0,1.0,1.009106362744426,True
erik-sim/a1_k20_b1/trees.tre,51,1.0,20.0,1.0,1.0253852420046399,True
erik-sim/a1_k20_b1/trees.tre,52,1.0,20.0,1.0,0.9631762410460335,True
erik-sim/a1_k20_b1/trees.tre,53,1.0,20.0,1.0,1.249126833282109,True
erik-sim/a1_k20_b1/trees.tre,54,1.0,20.0,1.0,0.965332438943296,True
erik-sim/a1_k20_b1/trees.tre,55,1.0,20.0,1.0,1.1586535773778062,True
erik-sim/a1_k20_b1/trees.tre,56,1.0,20.0,1.0,0.9258037534682487,True
erik-sim/a1_k20_b1/trees.tre,57,1.0,20.0,1.0,0.8933730751383648,True
erik-sim/a1_k20_b1/trees.tre,58,1.0,20.0,1.0,1.0519705129000951,True
erik-sim/a1_k20_b1/trees.tre,59,1.0,20.0,1.0,1.3283283141161057,True
erik-sim/a1_k20_b1/trees.tre,60,1.0,20.0,1.0,0.9880836842901174,True
erik-sim/a1_k20_b1/trees.tre,61,1.0,20.0,1.0,0.6628658224258794,True
erik-sim/a1_k20_b1/trees.tre,62,1.0,20.0,1.0,1.2001118681853933,True
erik-sim/a1_k20_b1/trees.tre,63,1.0,20.0,1.0,1.3784603068815964,True
erik-sim/a1_k20_b1/trees.tre,64,1.0,20.0,1.0,1.4806369019606027,True
erik-sim/a1_k20_b1/trees.tre,65,1.0,20.0,1.0,1.0275881692763642,True
erik-sim/a1_k20_b1/trees.tre,66,1.0,20.0,1.0,0.5738895251107999,True
erik-sim/a1_k20_b1/trees.tre,67,1.0,20.0,1.0,0.651946342671743,True
erik-sim/a1_k20_b1/trees.tre,68,1.0,20.0,1.0,0.8503836875874621,True
erik-sim/a1_k20_b1/trees.tre,69,1.0,20.0,1.0,1.2055832881851907,True
erik-sim/a1_k20_b1/trees.tre,70,1.0,20.0,1.0,0.9708515477403193,True
erik-sim/a1_k20_b1/trees.tre,71,1.0,20.0,1.0,0.9324931749942934,True
erik-sim/a1_k20_b1/trees.tre,72,1.0,20.0,1.0,1.594292308609913,True
erik-sim/a1_k20_b1/trees.tre,73,1.0,20.0,1.0,0.8416798855633506,True
erik-sim/a1_k20_b1/trees.tre,74,1.0,20.0,1.0,0.681686971389881,True
erik-sim/a1_k20_b1/trees.tre,75,1.0,20.0,1.0,0.6574688573740062,True
erik-sim/a1_k20_b1/trees.tre,76,1.0,20.0,1.0,0.9302970612140236,True
erik-sim/a1_k20_b1/trees.tre,77,1.0,20.0,1.0,1.1423510210471242,True
erik-sim/a1_k20_b1/trees.tre,78,1.0,20.0,1.0,1.29241056972254,True
erik-sim/a1_k20_b1/trees.tre,79,1.0,20.0,1.0,1.0484272252166824,True
erik-sim/a1_k20_b1/trees.tre,80,1.0,20.0,1.0,0.8410532374629878,True
erik-sim/a1_k20_b1/trees.tre,81,1.0,20.0,1.0,0.9839349509052245,True
erik-sim/a1_k20_b1/trees.tre,82,1.0,20.0,1.0,0.9615907297101429,True
erik-sim/a1_k20_b1/trees.tre,83,1.0,20.0,1.0,1.4574142709037006,True
erik-sim/a1_k20_b1/trees.tre,84,1.0,20.0,1.0,0.8377450555204211,True
erik-sim/a1_k20_b1/trees.tre,85,1.0,20.0,1.0,1.24086919526619,True
erik-sim/a1_k20_b1/trees.tre,86,1.0,20.0,1.0,0.6919813526233988,True
erik-sim/a1_k20_b1/trees.tre,87,1.0,20.0,1.0,1.0233372967360068,True
erik-sim/a1_k20_b1/trees.tre,88,1.0,20.0,1.0,0.6904201366930582,True
erik-sim/a1_k20_b1/trees.tre,89,1.0,20.0,1.0,1.020662768408618,True
erik-sim/a1_k20_b1/trees.tre,90,1.0,20.0,1.0,1.0570785994077407,True
erik-sim/a1_k20_b1/trees.tre,91,1.0,20.0,1.0,1.1323240026542394,True
erik-sim/a1_k20_b1/trees.tre,92,1.0,20.0,1.0,0.7269061278049652,True
erik-sim/a1_k20_b1/trees.tre,93,1.0,20.0,1.0,0.8971965610073172,True
erik-sim/a1_k20_b1/trees.tre,94,1.0,20.0,1.0,0.7824727629522809,True
erik-sim/a1_k20_b1/trees.tre,95,1.0,20.0,1.0,0.8118513287263508,True
erik-sim/a1_k20_b1/trees.tre,96,1.0,20.0,1.0,1.4434199787495527,True
erik-sim/a1_k20_b1/trees.tre,97,1.0,20.0,1.0,1.4014295393520115,True
erik-sim/a1_k20_b1/trees.tre,98,1.0,20.0,1.0,1.267948115523485,True
erik-sim/a1_k20_b1/trees.tre,99,1.0,20.0,1.0,0.6412502156418174,True
erik-sim/a1_k20_b1/trees.tre,100,1.0,20.0,1.0,0.7895320957187437,True
erik-sim/a1_k20_b1/trees.tre,101,1.0,20.0,1.0,0.6762193201779229,True
erik-sim/a1_k20_b1/trees.tre,102,1.0,20.0,1.0,1.0747572341622924,True
erik-sim/a1_k20_b2/trees.tre,1,1.0,20.0,2.0,1.8257580392121695,True
erik-sim/a1_k20_b2/trees.tre,2,1.0,20.0,2.0,3.0306409247376362,True
erik-sim/a1_k20_b2/trees.tre,4,1.0,20.0,2.0,2.0936545875076953,True
erik-sim/a1_k20_b2/trees.tre,5,1.0,20.0,2.0,1.8598766230372186,True
erik-sim/a1_k20_b2/trees.tre,6,1.0,20.0,2.0,1.6045554516467935,True
erik-sim/a1_k20_b2/trees.tre,7,1.0,20.0,2.0,1.4405413081617668,True
erik-sim/a1_k20_b2/trees.tre,8,1.0,20.0,2.0,2.2590383502737668,True
erik-sim/a1_k20_b2/trees.tre,9,1.0,20.0,2.0,1.671747396736736,True
erik-sim/a1_k20_b2/trees.tre,10,1.0,20.0,2.0,2.168629905748579,True
erik-sim/a1_k20_b2/trees.tre,11,1.0,20.0,2.0,1.6538609864913423,True
erik-sim/a1_k20_b2/trees.tre,12,1.0,20.0,2.0,1.1703350589979653,True
erik-sim/a1_k20_b2/trees.tre,13,1.0,20.0,2.0,2.734983837812739,True
erik-sim/a1_k20_b2/trees.tre,14,1.0,20.0,2.0,0.976800359281019,True
erik-sim/a1_k20_b2/trees.tre,15,1.0,20.0,2.0,1.5258095503052704,True
erik-sim/a1_k20_b2/trees.tre,16,1.0,20.0,2.0,1.9294417714990413,True
erik-sim/a1_k20_b2/trees.tre,17,1.0,20.0,2.0,2.1229852022482834,True
erik-sim/a1_k20_b2/trees.tre,18,1.0,20.0,2.0,2.6918152409564224,True
erik-sim/a1_k20_b2/trees.tre,19,1.0,20.0,2.0,2.026866974438717,True
erik-sim/a1_k20_b2/trees.tre,20,1.0,20.0,2.0,2.1165968872618564,True
erik-sim/a1_k20_b2/trees.tre,21,1.0,20.0,2.0,1.0190542538189742,True
erik-sim/a1_k20_b2/trees.tre,22,1.0,20.0,2.0,1.585570331987924,True
erik-sim/a1_k20_b2/trees.tre,23,1.0,20.0,2.0,1.5913352957842863,True
erik-sim/a1_k20_b2/trees.tre,24,1.0,20.0,2.0,1.7589633473277193,True
erik-sim/a1_k20_b2/trees.tre,25,1.0,20.0,2.0,2.2449385439115312,True
erik-sim/a1_k20_b2/trees.tre,26,1.0,20.0,2.0,3.2753548306549267,True
erik-sim/a1_k20_b2/trees.tre,27,1.0,20.0,2.0,1.5527128045647325,True
erik-sim/a1_k20_b2/trees.tre,28,1.0,20.0,2.0,1.2985220605389864,True
erik-sim/a1_k20_b2/trees.tre,29,1.0,20.0,2.0,1.6683060333563224,True
erik-sim/a1_k20_b2/trees.tre,30,1.0,20.0,2.0,1.8057101107813196,True
erik-sim/a1_k20_b2/trees.tre,31,1.0,20.0,2.0,2.4461372423709986,True
erik-sim/a1_k20_b2/trees.tre,32,1.0,20.0,2.0,1.3559055866075187,True
erik-sim/a1_k20_b2/trees.tre,33,1.0,20.0,2.0,1.887871688364662,True
erik-sim/a1_k20_b2/trees.tre,34,1.0,20.0,2.0,1.518527397619863,True
erik-sim/a1_k20_b2/trees.tre,35,1.0,20.0,2.0,1.18116362248552,True
erik-sim/a1_k20_b2/trees.tre,36,1.0,20.0,2.0,2.7188709145110055,True
erik-sim/a1_k20_b2/trees.tre,37,1.0,20.0,2.0,1.6090668949969615,True
erik-sim/a1_k20_b2/trees.tre,38,1.0,20.0,2.0,2.1192991446173695,True
erik-sim/a1_k20_b2/trees.tre,40,1.0,20.0,2.0,1.4181842218383176,True
erik-sim/a1_k20_b2/trees.tre,41,1.0,20.0,2.0,2.5128957666291,True
erik-sim/a1_k20_b2/trees.tre,42,1.0,20.0,2.0,1.7974221315347534,True
erik-sim/a1_k20_b2/trees.tre,43,1.0,20.0,2.0,1.211263127368199,True
erik-sim/a1_k20_b2/trees.tre,46,1.0,20.0,2.0,1.6271129323924056,True
erik-sim/a1_k20_b2/trees.tre,47,1.0,20.0,2.0,1.9954199247993656,True
erik-sim/a1_k20_b2/trees.tre,48,1.0,20.0,2.0,1.6057660716574227,True
erik-sim/a1_k20_b2/trees.tre,49,1.0,20.0,2.0,2.038455713784563,True
erik-sim/a1_k20_b2/trees.tre,50,1.0,20.0,2.0,1.289731996941362,True
erik-sim/a1_k20_b2/trees.tre,51,1.0,20.0,2.0,1.2613216478468519,True
erik-sim/a1_k20_b2/trees.tre,52,1.0,20.0,2.0,1.4326413757185013,True
erik-sim/a1_k20_b2/trees.tre,53,1.0,20.0,2.0,2.5762577208237527,True
erik-sim/a1_k20_b2/trees.tre,54,1.0,20.0,2.0,2.295475893859926,True
erik-sim/a1_k20_b2/trees.tre,55,1.0,20.0,2.0,2.237666000332084,True
erik-sim/a1_k20_b2/trees.tre,56,1.0,20.0,2.0,1.4177556190479743,True
erik-sim/a1_k20_b2/trees.tre,57,1.0,20.0,2.0,1.7668643194839777,True
erik-sim/a1_k20_b2/trees.tre,58,1.0,20.0,2.0,1.61385904788355,True
erik-sim/a1_k20_b2/trees.tre,59,1.0,20.0,2.0,2.3053703629099793,True
erik-sim/a1_k20_b2/trees.tre,60,1.0,20.0,2.0,2.4884062077804603,True
erik-sim/a1_k20_b2/trees.tre,61,1.0,20.0,2.0,1.6650661405156961,True
erik-sim/a1_k20_b2/trees.tre,62,1.0,20.0,2.0,1.5696403081002919,True
erik-sim/a1_k20_b2/trees.tre,63,1.0,20.0,2.0,2.789576361726071,True
erik-sim/a1_k20_b2/trees.tre,64,1.0,20.0,2.0,1.620798120843225,True
erik-sim/a1_k20_b2/trees.tre,65,1.0,20.0,2.0,2.2221967304592116,True
erik-sim/a1_k20_b2/trees.tre,66,1.0,20.0,2.0,1.638100468724238,True
erik-sim/a1_k20_b2/trees.tre,67,1.0,20.0,2.0,2.001549116233648,True
erik-sim/a1_k20_b2/trees.tre,68,1.0,20.0,2.0,2.0597295512178824,True
erik-sim/a1_k20_b2/trees.tre,69,1.0,20.0,2.0,2.1390573187634683,True
erik-sim/a1_k20_b2/trees.tre,70,1.0,20.0,2.0,1.5372107969850888,True
erik-sim/a1_k20_b2/trees.tre,71,1.0,20.0,2.0,2.376694857532081,True
erik-sim/a1_k20_b2/trees.tre,72,1.0,20.0,2.0,1.4396820523320208,True
erik-sim/a1_k20_b2/trees.tre,73,1.0,20.0,2.0,1.974178699036468,True
erik-sim/a1_k20_b2/trees.tre,75,1.0,20.0,2.0,1.7287840289519574,True
erik-sim/a1_k20_b2/trees.tre,76,1.0,20.0,2.0,1.9968311842615638,True
erik-sim/a1_k20_b2/trees.tre,78,1.0,20.0,2.0,2.3601171387824804,True
erik-sim/a1_k20_b2/trees.tre,79,1.0,20.0,2.0,2.0454942379207806,True
erik-sim/a1_k20_b2/trees.tre,80,1.0,20.0,2.0,1.9536409650866335,True
erik-sim/a1_k20_b2/trees.tre,81,1.0,20.0,2.0,1.7935824584961417,True
erik-sim/a1_k20_b2/trees.tre,82,1.0,20.0,2.0,1.6190227292789248,True
erik-sim/a1_k20_b2/trees.tre,83,1.0,20.0,2.0,1.9323836870681206,True
erik-sim/a1_k20_b2/trees.tre,84,1.0,20.0,2.0,2.2899052019113766,True
erik-sim/a1_k20_b2/trees.tre,85,1.0,20.0,2.0,2.102230954549922,True
erik-sim/a1_k20_b2/trees.tre,86,1.0,20.0,2.0,1.7762468492742114,True
erik-sim/a1_k20_b2/trees.tre,87,1.0,20.0,2.0,2.349950405912487,True
erik-sim/a1_k20_b2/trees.tre,88,1.0,20.0,2.0,1.9410088713727742,True
erik-sim/a1_k20_b2/trees.tre,89,1.0,20.0,2.0,1.9603806918001478,True
erik-sim/a1_k20_b2/trees.tre,90,1.0,20.0,2.0,2.178415359991309,True
erik-sim/a1_k20_b2/trees.tre,91,1.0,20.0,2.0,1.331650644296503,True
erik-sim/a1_k20_b2/trees.tre,92,1.0,20.0,2.0,2.523031045228594,True
erik-sim/a1_k20_b2/trees.tre,93,1.0,20.0,2.0,1.477778500875335,True
erik-sim/a1_k20_b2/trees.tre,94,1.0,20.0,2.0,1.5896839477016307,True
erik-sim/a1_k20_b2/trees.tre,95,1.0,20.0,2.0,2.1041482610011317,True
erik-sim/a1_k20_b2/trees.tre,96,1.0,20.0,2.0,2.4651274958009695,True
erik-sim/a1_k20_b2/trees.tre,97,1.0,20.0,2.0,1.9391293373394887,True
erik-sim/a1_k20_b2/trees.tre,98,1.0,20.0,2.0,1.5761963038647755,True
erik-sim/a1_k20_b2/trees.tre,99,1.0,20.0,2.0,2.0282587332314654,True
erik-sim/a1_k20_b2/trees.tre,100,1.0,20.0,2.0,1.341124385518277,True
erik-sim/a1_k20_b2/trees.tre,101,1.0,20.0,2.0,1.7329021377850609,True
erik-sim/a1_k20_b2/trees.tre,102,1.0,20.0,2.0,1.3640300757928674,True
erik-sim/a1_k20_b2/trees.tre,103,1.0,20.0,2.0,2.0120757800040034,True
erik-sim/a1_k20_b2/trees.tre,104,1.0,20.0,2.0,1.8794953652163882,True
erik-sim/a1_k20_b2/trees.tre,105,1.0,20.0,2.0,2.085853793960978,True
erik-sim/a1_k20_b2/trees.tre,106,1.0,20.0,2.0,1.964409282228767,True
erik-sim/a1_k20_b3/trees.tre,2,1.0,20.0,3.0,2.4722889883435033,True
erik-sim/a1_k20_b3/trees.tre,3,1.0,20.0,3.0,2.226737417778608,True
erik-sim/a1_k20_b3/trees.tre,5,1.0,20.0,3.0,3.1212269525242475,True
erik-sim/a1_k20_b3/trees.tre,6,1.0,20.0,3.0,2.7794356808407965,True
erik-sim/a1_k20_b3/trees.tre,7,1.0,20.0,3.0,2.8573054884188918,True
erik-sim/a1_k20_b3/trees.tre,8,1.0,20.0,3.0,3.729142005936992,True
erik-sim/a1_k20_b3/trees.tre,9,1.0,20.0,3.0,2.3330179325702174,True
erik-sim/a1_k20_b3/trees.tre,11,1.0,20.0,3.0,3.46989701513454,True
erik-sim/a1_k20_b3/trees.tre,12,1.0,20.0,3.0,3.602342410298308,True
erik-sim/a1_k20_b3/trees.tre,13,1.0,20.0,3.0,1.5971254792075251,True
erik-sim/a1_k20_b3/trees.tre,14,1.0,20.0,3.0,2.686653679363579,True
erik-sim/a1_k20_b3/trees.tre,16,1.0,20.0,3.0,2.8479499169003395,True
erik-sim/a1_k20_b3/trees.tre,20,1.0,20.0,3.0,2.014871308239899,True
erik-sim/a1_k20_b3/trees.tre,21,1.0,20.0,3.0,3.3690245390325693,True
erik-sim/a1_k20_b3/trees.tre,22,1.0,20.0,3.0,3.450273965703935,True
erik-sim/a1_k20_b3/trees.tre,24,1.0,20.0,3.0,2.791018078265715,True
erik-sim/a1_k20_b3/trees.tre,25,1.0,20.0,3.0,1.565789864923873,True
erik-sim/a1_k20_b3/trees.tre,27,1.0,20.0,3.0,2.083175138869148,True
erik-sim/a1_k20_b3/trees.tre,29,1.0,20.0,3.0,2.2176742870938946,True
erik-sim/a1_k20_b3/trees.tre,30,1.0,20.0,3.0,2.0102560022668294,True
erik-sim/a1_k20_b3/trees.tre,31,1.0,20.0,3.0,3.59052945134805,True
erik-sim/a1_k20_b3/trees.tre,32,1.0,20.0,3.0,3.264069621128461,True
erik-sim/a1_k20_b3/trees.tre,35,1.0,20.0,3.0,2.1858903798912355,True
erik-sim/a1_k20_b3/trees.tre,36,1.0,20.0,3.0,2.2517561449898675,True
erik-sim/a1_k20_b3/trees.tre,37,1.0,20.0,3.0,1.7895851175999526,True
erik-sim/a1_k20_b3/trees.tre,38,1.0,20.0,3.0,3.360518182808309,True
erik-sim/a1_k20_b3/trees.tre,39,1.0,20.0,3.0,3.3165818343131908,True
erik-sim/a1_k20_b3/trees.tre,40,1.0,20.0,3.0,2.4460606042292343,True
erik-sim/a1_k20_b3/trees.tre,41,1.0,20.0,3.0,2.352147809228106,True
erik-sim/a1_k20_b3/trees.tre,42,1.0,20.0,3.0,3.6938698256050837,True
erik-sim/a1_k20_b3/trees.tre,43,1.0,20.0,3.0,1.853229450012626,True
erik-sim/a1_k20_b3/trees.tre,44,1.0,20.0,3.0,2.7718083024511944,True
erik-sim/a1_k20_b3/trees.tre,45,1.0,20.0,3.0,2.3289974983601947,True
erik-sim/a1_k20_b3/trees.tre,46,1.0,20.0,3.0,3.3064346159665683,True
erik-sim/a1_k20_b3/trees.tre,47,1.0,20.0,3.0,2.2520826863609025,True
erik-sim/a1_k20_b3/trees.tre,49,1.0,20.0,3.0,2.2188316633252176,True
erik-sim/a1_k20_b3/trees.tre,51,1.0,20.0,3.0,2.632560950867818,True
erik-sim/a1_k20_b3/trees.tre,53,1.0,20.0,3.0,2.682742401807151,True
erik-sim/a1_k20_b3/trees.tre,54,1.0,20.0,3.0,3.9966579831661013,True
erik-sim/a1_k20_b3/trees.tre,55,1.0,20.0,3.0,3.3239908861990415,True
erik-sim/a1_k20_b3/trees.tre,56,1.0,20.0,3.0,1.8262913010896793,True
erik-sim/a1_k20_b3/trees.tre,57,1.0,20.0,3.0,2.498312568660473,True
